state,stars,hours,review_count
LA,2.0,"{'Monday': '5:0-20:0', 'Tuesday': '5:0-20:0', 'Wednesday': '5:0-20:0', 'Thursday': '5:0-20:0', 'Friday': '5:0-20:0', 'Saturday': '5:0-20:0', 'Sunday': '5:0-20:0'}",116
PA,4.0,"{'Monday': '0:0-0:0', 'Tuesday': '11:0-20:30', 'Wednesday': '11:0-20:30', 'Thursday': '11:0-20:30', 'Friday': '11:0-20:30', 'Saturday': '11:0-20:30', 'Sunday': '11:0-20:30'}",276
TN,4.5,,18
FL,1.5,"{'Monday': '10:30-21:0', 'Tuesday': '10:30-21:0', 'Wednesday': '10:30-21:0', 'Thursday': '10:30-21:0', 'Friday': '10:30-21:0', 'Saturday': '10:30-21:0', 'Sunday': '10:30-20:0'}",28
LA,4.0,"{'Monday': '11:0-18:30', 'Tuesday': '11:0-18:30', 'Wednesday': '11:0-18:30', 'Thursday': '11:0-18:30', 'Friday': '11:0-18:30', 'Saturday': '11:0-18:30'}",29
TN,2.5,"{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",23
LA,4.5,"{'Monday': '0:0-0:0', 'Tuesday': '10:0-22:0', 'Wednesday': '10:0-22:0', 'Thursday': '10:0-22:0', 'Friday': '10:0-22:0', 'Saturday': '10:0-22:0', 'Sunday': '10:0-22:0'}",630
PA,3.0,,10
CA,5.0,"{'Thursday': '16:0-20:0', 'Friday': '16:0-21:0', 'Saturday': '12:0-20:30', 'Sunday': '12:0-19:0'}",17
ID,2.0,"{'Monday': '6:0-1:0', 'Tuesday': '6:0-1:0', 'Wednesday': '6:0-1:0', 'Thursday': '6:0-1:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '6:0-1:0'}",88
LA,3.0,"{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-22:0'}",14
TN,3.0,"{'Monday': '0:0-0:0', 'Tuesday': '11:0-20:0', 'Wednesday': '11:0-18:0', 'Thursday': '11:0-20:0', 'Friday': '11:0-20:0', 'Saturday': '11:0-20:0', 'Sunday': '11:0-20:0'}",52
NV,4.5,"{'Monday': '8:0-16:0', 'Tuesday': '8:0-16:0', 'Wednesday': '8:0-16:0', 'Thursday': '8:0-16:0', 'Friday': '8:0-16:0'}",91
MO,3.5,"{'Wednesday': '11:30-18:0', 'Thursday': '11:30-18:0', 'Friday': '11:30-18:0', 'Saturday': '11:30-18:0', 'Sunday': '11:30-18:0'}",428
LA,4.5,"{'Tuesday': '11:30-19:30', 'Wednesday': '11:30-19:30', 'Thursday': '11:30-19:30', 'Friday': '11:30-21:0', 'Saturday': '17:0-21:0'}",53
FL,4.5,"{'Monday': '11:0-14:0', 'Tuesday': '11:0-19:30', 'Wednesday': '11:0-19:30', 'Thursday': '11:0-19:30', 'Friday': '11:0-19:30', 'Saturday': '11:0-19:30'}",87
FL,4.0,"{'Monday': '0:0-0:0', 'Tuesday': '11:0-20:0', 'Wednesday': '11:0-20:0', 'Thursday': '11:0-20:0', 'Friday': '11:0-20:0', 'Saturday': '11:0-20:0', 'Sunday': '11:0-18:30'}",38
LA,3.0,"{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '14:0-0:0', 'Saturday': '14:0-0:0', 'Sunday': '12:0-23:0'}",89
