review_count original,review_count z-score,review_count min-max,hours original,hours z-score,hours min-max
116,0.009657303,0.014676716,105,1.529723202,0.716723549
276,0.305100605,0.035832342,57,-0.016224398,0.389078498
18,-0.171301719,0.001718895,0,-1.852037173,0
28,-0.152836513,0.003041121,72.5,0.482987848,0.494880546
29,-0.150989992,0.003173344,45,-0.402711298,0.307167235
23,-0.162069116,0.002380008,0,-1.852037173,0
630,0.95876891,0.082639164,72,0.466884227,0.491467577
10,-0.186073885,0.000661113,0,-1.852037173,0
17,-0.17314824,0.001586672,24.5,-1.062959752,0.167235495
88,-0.042045275,0.010974481,95,1.207650785,0.648464164
14,-0.178687802,0.001190004,77,0.627920435,0.52559727
52,-0.108520018,0.006214465,52,-0.177260606,0.354948805
91,-0.036505713,0.011371149,40,-0.563747506,0.273037543
428,0.585771742,0.055930186,32.5,-0.805301819,0.221843003
53,-0.106673497,0.006346688,37.5,-0.64426561,0.255972696
87,-0.043891796,0.010842258,45.5,-0.386607677,0.310580205
38,-0.134371307,0.004363348,52.5,-0.161156985,0.358361775
89,-0.040198754,0.011106704,75,0.563505952,0.511945392
83,-0.051277878,0.010313368,60,0.080397327,0.409556314
16,-0.174994761,0.001454449,74,0.53129871,0.505119454
32,-0.145450431,0.003570012,59,0.048190085,0.402730375
69,-0.077129167,0.00846225,76,0.595713194,0.518771331
28,-0.152836513,0.003041121,105,1.529723202,0.716723549
150,0.072439005,0.019172286,112,1.755173894,0.764505119
8,-0.189766926,0.000396668,82,0.788956644,0.559726962
491,0.702102542,0.064260214,50.5,-0.225571469,0.344709898
57,-0.099287415,0.006875578,84,0.853371127,0.57337884
207,0.177690681,0.026708978,28.5,-0.934130785,0.194539249
25,-0.158376075,0.002644453,119,1.980624585,0.812286689
16,-0.174994761,0.001454449,66,0.273640777,0.450511945
15,-0.176841281,0.001322227,0,-1.852037173,0
52,-0.108520018,0.006214465,64.5,0.225329914,0.440273038
7,-0.191613446,0.000264445,51.25,-0.201416038,0.349829352
26,-0.156529554,0.002776676,73.5,0.515195089,0.501706485
71,-0.073436126,0.008726696,78.5,0.676231298,0.535836177
63,-0.088208291,0.007668914,68,0.33805526,0.464163823
25,-0.158376075,0.002644453,76.5,0.611816814,0.5221843
413,0.558073932,0.053946846,39,-0.595954748,0.266211604
57,-0.099287415,0.006875578,57.5,-0.000120777,0.392491468
45,-0.121445662,0.005288907,59,0.048190085,0.402730375
55,-0.102980456,0.006611133,40,-0.563747506,0.273037543
97,-0.025426589,0.012164485,73.5,0.515195089,0.501706485
141,0.055820319,0.017982282,61,0.112604569,0.416382253
75,-0.066050043,0.009255586,45,-0.402711298,0.307167235
6,-0.193459967,0.000132223,79,0.692334919,0.539249147
26,-0.156529554,0.002776676,78,0.660127677,0.532423208
216,0.194309367,0.027898982,65.5,0.257537156,0.447098976
19,-0.169455199,0.001851117,77,0.627920435,0.52559727
73,-0.069743084,0.008991141,46,-0.370504056,0.313993174
6,-0.193459967,0.000132223,90,1.046614577,0.614334471
128,0.031815551,0.016263388,29,-0.918027165,0.197952218
125,0.026275989,0.01586672,93,1.143236302,0.634812287
770,1.217281799,0.101150337,33,-0.789198198,0.225255973
20,-0.167608678,0.00198334,32,-0.82140544,0.218430034
17,-0.17314824,0.001586672,72,0.466884227,0.491467577
10,-0.186073885,0.000661113,70,0.402469744,0.4778157
63,-0.088208291,0.007668914,83,0.821163885,0.566552901
7568,13.76992909,1,55,-0.080638881,0.375426621
36,-0.138064348,0.004098903,93,1.143236302,0.634812287
