,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours
31780,-H5v2-mADBj8_n2yeACjLA,WOW Cafe and Bar,"900 Airline Dr, Concourse D, Louis Armstrong New Orleans International Airport",Kenner,LA,70062,29.9855683265,-90.2561187744,2.0,116,0,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsReservations': 'False', 'RestaurantsTakeOut': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BikeParking': 'False', 'RestaurantsDelivery': 'False', 'OutdoorSeating': 'False', 'HasTV': 'True', 'GoodForKids': 'True', 'NoiseLevel': ""u'loud'"", 'RestaurantsGoodForGroups': 'False', 'RestaurantsAttire': ""'casual'"", 'RestaurantsPriceRange2': '2', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': True}"", 'Caters': 'False', 'Alcohol': ""u'full_bar'"", 'WiFi': ""'no'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}","Restaurants, Cafes","{'Monday': '5:0-20:0', 'Tuesday': '5:0-20:0', 'Wednesday': '5:0-20:0', 'Thursday': '5:0-20:0', 'Friday': '5:0-20:0', 'Saturday': '5:0-20:0', 'Sunday': '5:0-20:0'}"
29081,w55VlTgAoRXPnqFte3j9ew,Revolution Taco,2015 Walnut St,Philadelphia,PA,19103,39.9507589,-75.1743401,4.0,276,1,"{'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'RestaurantsTableService': 'False', 'BusinessAcceptsCreditCards': 'True', 'Alcohol': ""u'none'"", 'HasTV': 'False', 'HappyHour': 'False', 'NoiseLevel': ""u'average'"", 'Caters': 'True', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsDelivery': 'True', 'GoodForKids': 'True', 'DriveThru': 'False', 'BusinessAcceptsBitcoin': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BYOB': 'True', 'RestaurantsGoodForGroups': 'False', 'BikeParking': 'True', 'WiFi': ""u'no'"", 'DogsAllowed': 'False', 'Corkage': 'False', 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '2', 'WheelchairAccessible': 'False', 'RestaurantsReservations': 'False', 'Ambience': ""{'touristy': False, 'hipster': None, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"", 'OutdoorSeating': 'True'}","Mexican, Tacos, Restaurants","{'Monday': '0:0-0:0', 'Tuesday': '11:0-20:30', 'Wednesday': '11:0-20:30', 'Thursday': '11:0-20:30', 'Friday': '11:0-20:30', 'Saturday': '11:0-20:30', 'Sunday': '11:0-20:30'}"
109549,3gIt0EfhhK0iXuzTpCEjww,Kuramoto Japanese Restaurant,244 Village Sq,Pleasant View,TN,37146,36.3942164,-87.0366685,4.5,18,0,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'RestaurantsGoodForGroups': 'True', 'NoiseLevel': ""u'quiet'"", 'BikeParking': 'True', 'HasTV': 'True', 'WiFi': ""u'free'"", 'RestaurantsAttire': ""u'casual'"", 'RestaurantsReservations': 'False', 'RestaurantsPriceRange2': '2', 'OutdoorSeating': 'True', 'RestaurantsDelivery': 'False', 'RestaurantsTakeOut': 'True', 'Alcohol': ""u'beer_and_wine'"", 'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'True'}","Restaurants, Japanese",
94528,D88YfiD-nAVRJDkexxh6Fg,Moe's Southwest Grill,2304 James L Redman Pkwy,Plant City,FL,33563,27.9898168814,-82.1200776817,1.5,28,1,"{'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'True', 'RestaurantsReservations': 'False', 'HasTV': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsTableService': 'False', 'RestaurantsAttire': ""'casual'"", 'RestaurantsTakeOut': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '1', 'OutdoorSeating': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'DriveThru': 'True', 'BikeParking': 'True', 'RestaurantsDelivery': 'True'}","Food, Tex-Mex, Restaurants, Mexican","{'Monday': '10:30-21:0', 'Tuesday': '10:30-21:0', 'Wednesday': '10:30-21:0', 'Thursday': '10:30-21:0', 'Friday': '10:30-21:0', 'Saturday': '10:30-21:0', 'Sunday': '10:30-20:0'}"
115383,rmXNvfNTeYf-8qObrSfMbg,Cajun Corner Seafood,939 Behrman Hwy,Gretna,LA,70056,29.8892221517,-90.0193234693,4.0,29,1,"{'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsGoodForGroups': 'False', 'RestaurantsTakeOut': 'True', 'RestaurantsReservations': 'False', 'RestaurantsPriceRange2': '1', 'HasTV': 'True', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsDelivery': 'False', 'Alcohol': ""u'none'"", 'BikeParking': 'False', 'WiFi': ""u'no'"", 'OutdoorSeating': 'False', 'NoiseLevel': ""u'average'"", 'Caters': 'True', 'GoodForKids': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}""}","Seafood, Restaurants, Specialty Food, Sandwiches, Seafood Markets, Food, Local Flavor","{'Monday': '11:0-18:30', 'Tuesday': '11:0-18:30', 'Wednesday': '11:0-18:30', 'Thursday': '11:0-18:30', 'Friday': '11:0-18:30', 'Saturday': '11:0-18:30'}"
78961,hfnQgCDLlbUfPHkkMlpb2w,McDonald's,1855 Almaville Rd,Smyrna,TN,37167,35.933334,-86.532616,2.5,23,1,"{'RestaurantsReservations': 'False', 'RestaurantsAttire': ""'casual'"", 'RestaurantsGoodForGroups': 'True', 'BusinessAcceptsCreditCards': 'True', 'OutdoorSeating': 'False', 'RestaurantsTakeOut': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'WiFi': ""'free'"", 'RestaurantsPriceRange2': '1', 'BikeParking': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': True}"", 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'RestaurantsDelivery': 'True', 'HasTV': 'True', 'GoodForKids': 'True', 'DriveThru': 'True'}","Fast Food, Food, Burgers, Restaurants, Coffee & Tea","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
69092,Xh08NmHdB86LexgXrIxr2Q,Faubourg Bistro,700 Burgundy St,New Orleans,LA,70116,29.9598306,-90.0673229,4.5,630,0,"{'GoodForKids': 'False', 'Alcohol': ""u'full_bar'"", 'Corkage': 'False', 'HasTV': 'True', 'NoiseLevel': ""u'average'"", 'Caters': 'True', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsDelivery': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '2', 'BusinessAcceptsBitcoin': 'False', 'OutdoorSeating': 'False', 'RestaurantsReservations': 'False', 'RestaurantsGoodForGroups': 'True', 'WheelchairAccessible': 'True', 'BYOB': 'False', 'RestaurantsTableService': 'False', 'HappyHour': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'GoodForMeal': ""{'dessert': False, 'latenight': True, 'lunch': True, 'dinner': True, 'brunch': None, 'breakfast': False}"", 'BikeParking': 'True', 'WiFi': ""u'free'"", 'DogsAllowed': 'True', 'Ambience': ""{'touristy': False, 'hipster': None, 'romantic': False, 'divey': True, 'intimate': None, 'trendy': None, 'upscale': False, 'classy': False, 'casual': True}""}","Restaurants, American (New), Cajun/Creole","{'Monday': '0:0-0:0', 'Tuesday': '10:0-22:0', 'Wednesday': '10:0-22:0', 'Thursday': '10:0-22:0', 'Friday': '10:0-22:0', 'Saturday': '10:0-22:0', 'Sunday': '10:0-22:0'}"
77057,BwGu7t-klhKiAN7T83iJBQ,East China Restaurant,833 W Trenton Ave,Morrisville,PA,19067,40.208177,-74.799139,3.0,10,1,"{'GoodForKids': 'False', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsDelivery': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsGoodForGroups': 'True', 'Alcohol': ""u'none'"", 'RestaurantsReservations': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTakeOut': 'True', 'OutdoorSeating': 'False', 'WiFi': ""u'no'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}""}","Restaurants, Chinese",
25280,Q54wPRfbmO8egJeVTmSkYQ,Che Argentinian Empanadas,"4191 Carpinteria Ave, Unit 5",Carpinteria,CA,93013,34.4037868,-119.5339549,5.0,17,1,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsDelivery': 'False', 'WheelchairAccessible': 'True', 'BikeParking': 'True', 'RestaurantsTakeOut': 'True', 'Alcohol': ""u'none'"", 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'Caters': 'True', 'BusinessAcceptsBitcoin': 'False', 'DogsAllowed': 'True'}","Latin American, Restaurants, Argentine, Empanadas, Food","{'Thursday': '16:0-20:0', 'Friday': '16:0-21:0', 'Saturday': '12:0-20:30', 'Sunday': '12:0-19:0'}"
138632,BxveKq0rKp52EWooIDK54w,Denny's,3155 E Fairview Ave,Meridian,ID,83642,43.6188094156,-116.3567735568,2.0,88,1,"{'RestaurantsGoodForGroups': 'True', 'GoodForKids': 'True', 'NoiseLevel': ""'average'"", 'Caters': 'False', 'Alcohol': ""'none'"", 'RestaurantsPriceRange2': '2', 'BikeParking': 'True', 'RestaurantsAttire': ""'casual'"", 'RestaurantsDelivery': 'True', 'WiFi': ""'free'"", 'RestaurantsTableService': 'True', 'HasTV': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsReservations': 'False', 'BusinessParking': ""{u'valet': False, u'garage': False, u'street': True, u'lot': True, u'validated': False}"", 'OutdoorSeating': 'False', 'BusinessAcceptsCreditCards': 'True', 'GoodForMeal': ""{u'breakfast': True, u'brunch': None, u'lunch': True, u'dinner': None, u'latenight': None, u'dessert': None}"", 'Ambience': ""{u'divey': None, u'hipster': False, u'casual': True, u'touristy': None, u'trendy': None, u'intimate': False, u'romantic': False, u'classy': False, u'upscale': None}""}","Breakfast & Brunch, American (Traditional), Restaurants, Diners","{'Monday': '6:0-1:0', 'Tuesday': '6:0-1:0', 'Wednesday': '6:0-1:0', 'Thursday': '6:0-1:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '6:0-1:0'}"
