,business_id,stars,is_open,Food,American (Traditional),Sandwiches,Nightlife,Bars,Fast Food,American (New),Burgers,Breakfast & Brunch,Pizza,RestaurantsTakeOut,RestaurantsDelivery,BusinessAcceptsCreditCards,OutdoorSeating,BusinessParking,RestaurantsPriceRange2,RestaurantsReservations,Ambience,RestaurantsGoodForGroups,HasTV,stars <= 3,stars = 3.5,stars > 3.5,review_count low,review_count mid,review_count high,total_hours low,total_hours mid,total_hours high
0,aSJdDcspNCf-2oNF2E6SJQ,2.0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
1,Vj_72qKqpL10ECZfbHDyBw,3.0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
2,x6kJFqKHkqtQdmZH3B0GSA,4.0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0
3,_ReMedGR8eDM5AgdRK0jCw,4.5,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0
4,WtvENhqvWpjQtfe0OvUwSg,2.5,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0
5,Im5XYJ8jP3s85Lna48HcWA,1.0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
6,vDhOjSNfgA4eE1Rj88-XDA,3.5,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0
7,EMti-iNn83SGp3z6LngDWQ,4.5,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0
8,gqMRM12j5mder76t3bPxJw,4.0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0
9,NOPk3f5TedR-fw9HO4VJlQ,4.0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1
10,xtbAqP_Ftb3kYJ53Hv6H5w,2.5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1
11,ixPTo6Hum7nNZ7A4VPhTXg,3.5,1,0,1,0,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0
12,-TCa3KBib07_1ko9L2Z0fQ,3.5,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0,0
13,sFQTyTiBqhTpSvyyB73iYA,3.0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0
14,vcyyzUqEiCTSrFmHgqvxpg,4.0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0
15,_rLAo3IiokiOV2WB_-DyWQ,2.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
16,Q-prSTdggNlxAEFV88BZOw,4.5,1,1,0,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0
17,5sFKSdkKNXHzr4sA5-VCpw,2.5,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1
18,dikP2bqi-zIUISB_TKPRtA,4.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
19,4bxby6xcP1iP8oXrdvsW7w,3.5,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1
20,nsnehrg4TxUbO-6XrcZNFA,3.5,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0
21,w5Q_dmk9r4AaS_DvPHxJow,4.5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1
22,kMkQHjDn0RzANz0IiwnP9Q,3.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1
23,J62Fs9lhPGYRJR3vawE4UQ,3.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1
