,user_id,name,review_count,yelping_since,useful,funny,cool,elite,friends,fans,average_stars,compliment_hot,compliment_more,compliment_profile,compliment_cute,compliment_list,compliment_note,compliment_plain,compliment_cool,compliment_funny,compliment_writer,compliment_photos
1817726,baysubsyBl7omYmSoAL_nQ,R Richard,2,2014-06-04 20:40:22,0,0,0,,"YKVaewqx90wPPNCEfPTzUw, wc2vSdN_TdFR9BonSEHbRw, 4xBJTLw8xTdLAyAYUXVAmg, NB9g2VoQdzePs28gFise1g, lvY4M1eC0mz2-CRVP26eGg, 0VMpm7myCBQAToW5jo2Rhg, pel2x0Rmb7zIMPAbr4qc-A, 6uw39ypQ37g-HIxFiHYbcQ, wWuegigBWM5wN-eFrZvPsg, hUxJpKKz5RC-zg6ZmYHRNw, RoYErHqhirj66W5hdm4TVg, mDib4kH89y4tgR2eSBBxnA, dex1iFXDoffBRfS1ah7ZTw, tv7_biBgAGghUJTiPSFLsg, 27YzPRbUu62RicRlhChw3g, yjM7QYn63NUBBNuEIDHJww, ydd7DTYtUCNn9Smfu91Zzw, JZI13-85jz16Mucy132zAw, rHD4_YiKWgO7NV2d36lGIw, m9JUso1uQ8WQF-9JaDANDA, QteBSe-jEVOxlh_TDPV8WQ, q4M3WRI4n5RwqRbB3kDrxA, GOAt90OwSjP0TZkCohM1Hw, UHyxf8ObPLod-omVlE1TgQ, LxIurD7gkZX3IPXVRFHXBw, llDd7oA7goroA-8UODW9OA, iNGtI5jSIFuxH0HTUOHqfA, _KZVsr1XKfgRBRIlK7XHxg, hnQpVkHC5u_eWuKSK8lmLg, DU1lSTW6S-Aj0ghomDPomA, Mdgi0H8RWiYhC5er9nRPnQ, kqmOxSv9uDq-tYutW_Wsag, eqF3X8uqWVpdoSS2DnnaPw, eVQX55FfZYWURlx82x_SSg, KV1qslSz5YFSi6gCJAaxUg, iwAA2ZJXGh9rGpjH2nSmbQ, 39h1F9eHFFD1GF4rQa1Hbg, 4Tp3Es0sRhqrn4165OAGog, 9FqblL8ujLI9wZm0vPCnSQ, oIuFJHPj-vu294TJ1df5qg, eoli0_n4nuZHv1MxmNb5qQ, IKzdJxe3SoXvVDz-n_tj6w, Nsbay1RuVaaf_BUL_hVJTg, pxx4GloZEhqdrgV9qxy4GA, wmNrtVrTr0XWMBkwv2F9hQ, j_3AFfZb4N03JiPUVTdi1Q, TQ-58At4mI5tNGwAGieA_w, DP_3qngOq4l-_Q6Tnw-WQQ, teNBftRFR-cLKbxmOSAcTQ, yYuC-QE1-fh8apSDL1o0IQ, LaNdbOUFPOx5G3OQ5_r0dQ, roGB8w5HGY4-D3y2wp7NsQ, 84NZnINEk46BoaUvK79i2Q, xaCOGLY9hgfjiED0ISr97w, ebGVAKMglKYDmAk_DzUf9w, 3x8BKHYPKmMaDLLA6lyTMA, 6xw_I-106Vx-fAvPPIz6_w, U25VWQZFo2jYlGRgwN8A8w, y08USYhe69Kg57JJfpdNOQ, _J1UV7MAHgRHlsfRN1IE6Q, JMem5km5K-or0qAJ-nfDHQ, jwjtwrbw_0o54YRJ6iZkpA, xLA6DeRdcyXvxoyVjnB1oQ, f3JAEEPuTCqDSk9TNDwheQ, i7g-IbB7xtwVaD62lnmQ4A, fO1JotnS9-c2jXsIWMFVMA, Ya02L5nUFu4xvlhA7eBenw, HwhrE8xRFQNDuN4R4D6lFQ, 4D840FyLfDNz7VQeAQtW6g, GbCaMQw8wpO6opEA2GL3kQ, KWn9vbXXh8KO4dTc__vKuA, ilVH7ob7zCtXUJR9JTyEow, zDigiyzPXyKiaX_f-_xZNw, eXgLRfWK--_92k5X7YmZmQ, DZnn--elSn8JdTb4DKbHgQ, hyXu0C5q2_sEcKcXIYkVZA, 99wXFPnst9eR74G9Elcovg, prNR--YO23Y-CLh_VpN_yw, ygvHL6c8stgsb33jDBlhKA, zDplN1ylGhTX44IDTnaSyA, AC2oR14WEMK8RzhDzM2pSw, _FGqePke86ptBK31hloD_Q, jn6SNU5HLPO5B7TQlFTz-A, Utv6IlY8jm9HFqbaamj40w, cTwG8QPdhl6lp5QKhL2AIg, G6aigqgUot2wMlr9sT7KDQ, 9eHdwhSZYmiEP1KHxsfWSg, aSkdBSMhOCyzuFirK4sudw, sKaSlsPN1SFbWYbHSOVemA, m2S6fBGTCxq8XIQOS4lGJw, HVNZp6IXs5uVNMCB_I4Kkw, tmC4nKzzPngdxe8gPjwuTA, m64fe8ExFPDG0aCTwN9TuQ, xbW43P_kU9Yddc-613vHzw, ciC17VxcbeZuyBjIe9KxfA, oxeTBIJkDtVTd6R7Pk8G2Q, S2p7zkykSyU0f3SDvEHM5g, l42NkWdFli_2nJeKkhXsyw, tAqfnB76YI56yGbxlcCO-g, O-zdf9wAti0Xhr5rw61eiw, 3OwopEQHevZADCiBSYfxHA, jPEOomxFHwaKNRCNyWtW5g, CYTMWwJVF4YX5gX70RsEtw, vYBlzTDNZ_RFJ-plUirJCA, VTcm2QK2RFdfcWo_rlIJoQ, vIrzIOhDlf6pA2X0aZBPxw, djSO2WWQG8qZZhQneCa5wQ, -ML-k-OMUMZJazzc61D-nA, t2EhgGLujIvMhku500u-Ig, Zb1Dt7bquhS8oMsD-E0mFQ, KleHtSt9dAj5gALB3OYvSQ, cFSSrJOw-pDHhknt80uI-A, FIL2BcskyAyFwVtqylDMYA, yXIC50PpkzzGY1f6kIK7Vw, cv3SQ_e-fUmjoDGLxYBhgQ, uewmqpmfLjq_V6NL_uzVig, guZ6EYrNJMN6gw1DKQHjnA, tQGntffJbzOIFZQiLHvbcA, DLQdqNb8k9vHXzHk4v-KMA, sV7ryraJThjne-16uUP77A, nOBPIHJYuhRIlcF2MZ1NkA, MTyIrbYw5ZF0MSDq1zPO4w, wKkikLFeCfVA1QQFsYrZ8g, QRKXt2t64d3vC3MrsWlIqQ, Cyw4t8dgttIivRE5e-73qQ, ETDSlKrTfDilFkSbED4d6g, dXwo8_uMhvhHHFoMVFqukA, 2xWTvHg_A7L1hlKoEZr93A, fn8_QyhpDgVXaKdTKqTpbQ, fqjp-41tCdARNVevjVRolA, dOmI_TWvN7CizwxCIFA5TA, SYQAAkHiC7PYxEsDckDt1Q, 8NI7QVFDGl-AK-5WiFOE2w, Pnm4g0152p27ERXe2mAjMQ, b_huH4N4bEE2V93vl0kEUg, cZO-qSU1GyL-alfwLimMhg, czSdcay8H1DaWRg6hZv1TA, 4LgF6BQQCvc69ddyHgejGw, asWq8ulrnXqcOlZBJ5FUBg, ZNID27z89voyxT9LXOEqdA, Y7SGT3oEWhRi1tjXLCC6IQ, 7UqQ3y-TzLdsoIO-7-s6Vw, k_KpsuXP4TKm6R7cJbJ85Q, XWX0kP4-5PWoF5kTsGJ9zw, 7Nri-pimcj4bJfpQpjrK0g, lzB33nRW48nJDviw8aETog, wywk5-uxx-0xFJ3Wngz2wQ, LYjV6h37EK7ZxNlo0tyOoQ, 1oRwarggqGpuc7M0FGrZ9A, j7Yon7ej12MSz38IGlJtgw, m5XoTMMpfhx-Hi6XzUjL3Q, f1hthJvSPQYZyXhg6p0aXQ, cXWSyZyINLfK2GfuASi6lQ, W9EH-iRmNwSqmw8YmpEzyw, a5iCxt7DqoS3l651x8a9uw, Dk_h4wfIpw2JkbNZD-xonQ, ygAwGr8X316ZoulNiSR3gA, I2JMYUy8j8zxo7LRJ4-gPA, KeeNHH82NnmphbM8VyAx-Q, QhzpLQmEM6dqmux1KqsFSw, AEiyH1aK6hhZP8duW5J5Mg, ZRfBHZbyabk15EcZn5WPAw, 4tx7nm-qZ41gArGaLwOXHA, G7yqUTRx1XyZjF54En74Fw, qeEzChMOuJ7mYEnDLvUbiQ, na2eUAnf0qsv52irHt2dsA, ppoIexLgoRgrxBimU0lM0Q, DpJw9Zztme-DsrWHaob-vQ, _CGTfUVQ3l92ZJeC6UiLEQ, _-BwGmgc_hs2qp7X8XMduA, JWK8AonElo4C9TCBo2LgGg, HhrsGmWKOEvRwVW5-6_-5Q, l4jm9Sd_H5GUpb1Qe2revw, uA2yzbMfd775DKRYa2elGw, BWYM_JQPEGth86Kbzg9e6Q, O5SKehw2X-bnF2ELFZoKbg, l1hjs4gsFoHaTZbQUuibwg, 3QwAfJWzkA6F79xGq0SSOA, -H-8yGWsa_H5AJC08QPWsw, 4QPpyGW761jlYoTCyQ1Eow, BwUXUbhiUIY60QicZxV1iQ, K_8_PED_xiXB_LMeSkPtqA, BbMi869j2is2myrK6w7iQg, ghoYPTxJQafi3-Yjs_ERhA, zTftr8OF35_8h7jgAVEeyg, Pn6R9piOXIMgoVVagd_uGw, nYVaIggH1RR2Huduq9iT9Q, 1DqF4Vj8IpNSOWdRSi10Pg, he-TUpMHHGr35SH-LxAqLw, o0UJoGPnGQivF8mdJVYfiQ, zeWxX1H7l-bhi0k0IuMEXw, EyDxeD7VWj_HV9NXrKi0SQ, _OdUO_6iDovwC9pNukTAiQ, WvMt8eU9OuCwQN8NQq-KmQ, c16kEnowx16FhZ_U7_uPNg, MoE5yb7WzreN7SGZGZIjBg, xA-th8rrrCswvS_Nz_WUVA, OhoweXI4VmYkxTGUu0uFUw, oDooeP916Tz7H6On1l7ppA, bpZwGZny9d4_IcFDObOewA, tKfKIiaSuWDLZrxxtfGF3A, x5u6YzZgvYPzlBtwfADbtg, nnkPfA8a079bttPSZmy9-Q, aztIzauoJ6oDEgiKFdw5FA, VChl3xsRmbsBE-x7kLLNOA, ORIMMgn94MAe_nO2gG1b4w, c-RvDQIIB6Md__l23twnlw, xI_rf4NajMJu4Qbh98TYnQ, 4Cb8-boECXnT4HCTk6Owrw, d16gzP31PYZ7AyyserSRAg, DOzoV32j8RBkDPfv7XGmkw, b1kslH36ZyODqIeJXDTUTw, 4UvRIZ-SeGlfgCSAay5Kkw, OTfzgvbKlTxFKPBfrFsPwQ, trf0VlC97V-reLWtYqqZqA, aJsZbbsQuqZmQORdpFX6lg, eVV7DE3EXfFSjqfxckcZpg, OafFnjxWEq4DzrzHohu84w, SejVDblvE-9huVCM7mlPgw, XpCk_RMfR2UtiS5P3-dw0A, ACfoDeP2-MrnjU38o1F_8Q, B8ldrxUwg7_NEDBpU3yokQ, dx35n3iboQCVw-tliCFc_g",0,4.5,0,0,0,0,0,0,0,0,0,0,0
1927844,dqIFJVJVNb3srqK_vobrfw,Jenny,16,2014-08-13 02:02:41,3,0,1,,None,0,4.69,0,0,0,0,0,0,0,0,0,0,0
1057397,XsEZazFrQDZhZqrC0t5sCw,Ann,3,2018-06-05 13:15:34,1,0,0,,"Bj8gb3mKTnORVy1MC8FylQ, lwl_YWQ-1iXmcA-mHVG_jA, H6BH7WnuVYxuh4CeM74fSw, omB5ZCfI1Z4weGvXtKxWZg, WWkYvwHEl-UgM5hoZrdfXA, HV2tfU7-Ia2Pq4vagWrrbw, Ujx8akZRIXmUQXP3KRMsZA, 46K_yKxI5LeSlDw4_n4Klw, cupaBaSZiFDLULe6xdS_Uw, 640CP3LoGRsgKoxlrrOGkQ, Sosb8PBZupZFCEHAq_F2tw, NYDwC1YNzvOP2Go2HHPB8Q, R55eOwYc_sK9Kyxz8RWHCw, coz7_7mrsflHoeDk1jAoWg, kNd9WZ3tFdFtoHv6e2AJSw, 4m2Cl-Ac6YX2J3b5dWujeg, GYn1AoQ0E88apUkm4bp2JA, ljxJobWOlS38--aLJhJPmQ, YSn-PNO_wK1Tx9WY6aUi-A, P1EdtnQt8xJtTK-N80uJ4g, Qz2DM9b30Hc8nZdQtUJVng, sXY6TnKZ67GRS1zZCX_Ubg, T9an2Cp8jE_pawchzTmSow, EiPOjauICvw97Gd7UYB2-w, kwdrRw9owvKJmoxG9K-Nlg, rUV0bD_ns1pSVgcOjC-1aA, LRrCu0uOvuzhCRKUxes6pA, 8H3HsdaR7ykz6ctmeaoYsA, 964uwVHqXYa3U2RI1-uPbw, j3T6TLKIjBPZfZpFzS5CbQ, HhltgFC1Fun65LKFukC0kQ, ziNrX75U0YHyTPtsuBXM_A, 4b6JHHwkibqEZuhmuTDt-Q, BLpmbcM87GjB64x01WCA_w, nFwXMIfuZaG5L_CO7yo5Kg, T-v6X2su2hnSfABliAxSzQ, erZmjI7_DmDSBwTRACjDPw, UnHAlp2wT802MBPl5Pju6g, rDzBrtn1woe2jEj1nJ5sPw, 9Kflj9SXcEzQnryxtjkxhA, 6b3XT8sbitS0WwcKTEgU0A, bf0pabsgszAqlf4HxjbJ2g, vzBUkpKlkR1Uj9CSK5XrbQ, PJ4Jx2mHINzLstDRnEkSqA, pUnMaBgw_pNSN0kB5wdM8g, 5RXZcF25SrhdcJXTPHfCXA, KcWSfQxVV1EF_jiVcJ1U1w, 6qEOrqXDDe2jMc9YeDsCJA, cVKWbLACioYqKGlBGhuKQQ, Lc6j5goJeotNMkQ_Ci8Nww, KQWItbcajJq7DZH9NQBzoA, lvM_iLpr3arDR4rmIYMmHw, nBgXTQLA1pO8RUzv4AJxBg, Li4ZofJscdpWJaoRdnIXfg, 98XplJ-Nj_VpzpJWDXpHtg, WGo-LiWUUQqx9VR_oAtd3g",0,1.67,0,0,0,0,0,0,0,0,0,0,0
1513691,LdtFVKWwcO6cxsVDCBXqLA,W,5,2009-03-31 19:00:59,2,2,1,,None,0,2.0,0,0,0,0,0,0,0,0,0,0,0
1073346,NUApbP2YOPnVsTPSvMsdxQ,Amber,11,2013-07-14 20:55:11,5,0,1,,"j3GVN7VpDZ2I3_g332h3TQ, 3lKGcCwbxKB1bAgfCyVsLg, j8QBqn3uWhNtBvd2T-wsTw, JroTKLvgiqhkhN0RokgtRA, kp3x_WHEEmrST7Oo4Iya2Q, lk4DUcMEvgHgRhVNmr7dvA, I394bFHsCP_KUHPofCAECA, wPaEGMJek7ZRiQynRlAiew, 8S_PsiaCZ1KAEMQftvyC-g, uu66e3jk_9tU0ba7VQ19Eg, 1InectcgtWbtEb339rY3_g, fTwDaflCsFb0XdnVP5Rsjw, NhS0192A3DitCXrZFeLwKw, vlE9AnFV3H-IDuA5OM5a5w, pr5oake4bHfj-4dkBV5LuA, k3ZCgipsZ2c2J16RIMZigw, dvOaqA6SBHwNLjlSr8WVqA, DwgvYhcFrODKAJQ4C33osA, cMQWUt_gJyFlmiHyvoWqJA, X6Y1YYm8ZNSNvorOhggMUw, Dw-TYBCgKuSAvy3ipKEQlQ, pW2cRhSEQVoaMXVWy7jSqg, bwxQSRg_MaUQ6iBTbOkFLQ, XTnbik3O9HSpd7gQGUDAug, 1RgollCypFeN52xL4DyMmw, z9s3Ado6yHxg8-WTk3r0KQ, akV_1cz6C8uGexVhI_WjLw, OeR6vcFoass2mKVOQaQTiQ, worg7_JXFNpqDu97mKeyzA, Y5UITnOXDsmZEfuRJ02Lkg, -TVtI1eifgQ5tpfdfneUbQ, sRhKpJ5I2G33ZL5QiMy8MQ, zYDHEvspVrYDT6AP7HT2lA, pYOE7DoQIRiziV7ux33cAA, D28t_DieLZLc3fuZcKgzoA, _JqZT7jt1HbZaBtxCX10KQ, Comz4Ro5tZn_JsVnAF2dpw, fEI7ZRZZHwEPwtq5TDoRPg, rThtfy_YArty5MBCI_6YfA, P7FUy5EwU6DOHuc62sH-4g, 08CES0dGkCgkpJYEqvgU4A, ryoMqa9qrocDTTETUHgg4Q, ixWPJxug5fseOHa63d27sQ, 7weYKVZk14C6roTf15EQdQ, lRZ7RnrW5mP8iIuBxTIuQg, 1GYMhCaB32bLr4OUPcOpgw, qmhMlOXFp8D_m6dMaL5-xQ, h7slxBsYjH2Rgkzr7xUJ4Q, 1rlKBnAqm-1A4CLpkobY8w, Hu0I7UprR0RFoPBXfnOBNw, Q07z2jwAVVtAsUgtGwSUPg, E3_WBwEKCovD8u3UWDvBBw, 3rojS-5f9plN8JuemFg-Rw, Rouol6ZJzZstoItxCfti_w, HtmKByPc_rVYSFIHcWGfXA, -IOVRWXmENstfOegkKd_Yg, 3FvvpFV9vG0EzrmKP7XjOw, 5meqkrOfb0T4bpORMlpVEg, RgVBU4cgHu9wYoUVDAHbvw, HVNZp6IXs5uVNMCB_I4Kkw, 6H6vrKmMz9PyUH-_wH4Inw, MjKK6UhxDTBx6YqcRRsXHw, GTYjnYXgQWlDE3WUjrLL9g, vRJ4mKAmKFkyQIveb7gptw, Kby1iepakWbY75gLosnGmA, tx-WlpFBjvlBgI9GHk4BcA, 1upALeOPbtncvr0G260wgw, Q463kG_VJh1mabUO2D-Fdg, b28XFI3HSFYwxEG9S4HOaA, MEK4sHHrPq8FttcdwPsQ8A, bAmaRhrrQDEXLOVO3Z3XCg, OOGev7C0JSvzaNvqCqVQnw, w2KCk1tg_powWUs8kFTWTQ, 3YtwQ-0DjEICx773P4a8Xw, QCtc3JUREBlXePvKIF0fsA, fZtjuvMUVRQOLzyZcmelZA, zrrQ7DuM32nww3OjTIJzZw, -T5lFm8HrHg6_5Z46OaYlg, b3D7cgSFiLPNZnLKJqfDJg, FraSXCAaQzFZfxx-CoEcgQ, Nnlzbla6Vq0JTSw1VGaclw",0,4.17,0,0,0,0,0,0,0,0,0,0,0
1592474,R4IVAE2xcw1_IN2KwK4MUA,stephanie,18,2009-10-06 17:52:17,2,0,2,,"GoY3WPM237XKxCZ8a55kRg, 28vQoVmpPlPhm7kwLcveWQ, a8WAWQyhVovXGJhzm8tyEA, v5ZabgBv_oyYXFSVz-T3eA, NYY1a8rqyqkB2ZqwmuGv6w, f-CA1ruVZT0lIttdgE9lhQ, QsOMkw98lE1CcUNaFMilow, EmShz3HXp5v89IWRGhvWYQ, LTQQxsQ_EUcSMMou3B01yQ, 4Jd-285WUdTXHkdHBXeZ7A, gsH0f1WNIj7FBKh13vRN4g, 9hBolqTX5SgPUuGz8oPZrQ, X8hkoKMFWPA9ziGXEIFafg, 8Te255ExAGd6astx1w8Prg, t6O-n-xf47T5NJgIdUMPlA, 3lJamcYHY3t4x7dMMYQdOg, bvP77hZwg1DUnI8FaJXM-g, YX5Lg01KGFVbrzwL_ZDZlQ, Bo-eqHUkBVQFB-1oP-_Qew, XaHalmtVVbW5Kd7Pz6HYrQ, ncAWv2xAAJ8olBvf2QiyXw, DEtwm8iwLZ8pqpLwNAOmLA, x_hi8aCseJL_V59Lz9nEhg, zyAgcMaIV08azaWccUejUA, 5k7GCBUYvMDbCCyQxdbIbg, MgqoYKhEb68tEE4viSshZA, QcHcUqUs6KGeOZSc_L6EWg",0,3.94,0,0,0,0,0,0,0,2,2,0,0
887170,j8Zk3CNlmvkc0IPu-NITBg,Edward,4,2016-01-16 00:45:28,0,0,0,,"0u-KVl2T9dI7HJBiNpluag, 7ouH6BhcGWi-pNZaTIq6ig, SpksrxjIUksQTyDj-V4EEQ, a9RLNRaxdSwU0bz3NufwLg",0,2.0,0,0,0,0,0,1,0,0,0,0,0
1923177,PElqbwHXIxVqt6MsSuBJiw,Craig,1,2018-06-21 00:44:18,0,0,0,,None,0,1.0,0,0,0,0,0,0,0,0,0,0,0
196671,wcwM65ENVRT_zOVZF90v6Q,Alan,2,2011-07-13 00:11:19,1,0,0,,None,0,1.0,0,0,0,0,0,1,0,0,0,0,0
195711,-uIvBWHUK_qK0z0GUrtOKw,Kimberly,5,2016-09-13 16:52:56,4,0,1,,None,0,1.8,0,0,0,0,0,0,0,0,0,0,0
